domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,8,FA,1500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.6849675819818795,3.6696371783922026,2.636388161828983,4.345767534923173
cont,Ackley,8,FA,1500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.6849675819818795,3.6696371783922026,2.636388161828983,4.345767534923173
cont,Ackley,8,FA,2000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.5138227672460762,3.6554252277566968,2.272792794472885,4.519209733445276
cont,Ackley,8,FA,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.5138227672460762,3.6554252277566968,2.272792794472885,4.519209733445276
cont,Ackley,8,FA,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.5138227672460762,3.6554252277566968,2.272792794472885,4.519209733445276
cont,Ackley,8,FA,3500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.3152416398567595,3.3123475650279546,2.6297467597527597,3.9145851838983146
cont,Ackley,8,FA,3500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.3152416398567595,3.3123475650279546,2.6297467597527597,3.9145851838983146
cont,Ackley,8,FA,3500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.3152416398567595,3.3123475650279546,2.6297467597527597,3.9145851838983146
cont,Ackley,8,FA,5000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.2096675977182842,3.255668590756225,1.713911566039521,4.0202901940341995
cont,Ackley,8,FA,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.2096675977182842,3.255668590756225,1.713911566039521,4.0202901940341995
cont,Ackley,8,FA,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.2096675977182842,3.255668590756225,1.713911566039521,4.0202901940341995
cont,Ackley,8,FA,8000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.067441528519885,3.0948320469498687,2.0297805592095703,3.6047632274296046
cont,Ackley,8,FA,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.067441528519885,3.0948320469498687,2.0297805592095703,3.6047632274296046
cont,Ackley,8,FA,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.067441528519885,3.0948320469498687,2.0297805592095703,3.6047632274296046
cont,Ackley,8,FA,12000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.743012460051515,2.7769492830371427,1.2629500872883566,3.500874731548383
cont,Ackley,8,FA,12000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.743012460051515,2.7769492830371427,1.2629500872883566,3.500874731548383
cont,Ackley,8,FA,12000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.743012460051515,2.7769492830371427,1.2629500872883566,3.500874731548383
cont,Ackley,8,FA,15000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.7431153995879893,2.787498599274191,2.0414756649951653,3.2673450832404822
cont,Ackley,8,FA,15000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.7431153995879893,2.787498599274191,2.0414756649951653,3.2673450832404822
cont,Ackley,8,FA,15000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.7431153995879893,2.787498599274191,2.0414756649951653,3.2673450832404822
cont,Ackley,8,FA,20000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.65074792478395,2.7493861168020985,1.1880865219926737,3.3231972018635045
cont,Ackley,8,FA,20000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.65074792478395,2.7493861168020985,1.1880865219926737,3.3231972018635045
cont,Ackley,8,FA,20000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.65074792478395,2.7493861168020985,1.1880865219926737,3.3231972018635045
cont,Ackley,8,GWO,200,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,1.4608173184317876,1.3448424034465813,0.7517862622750369,2.816440787496195
cont,Ackley,8,GWO,200,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,1.4608173184317876,1.3448424034465813,0.7517862622750369,2.816440787496195
cont,Ackley,8,GWO,200,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,1.4608173184317876,1.3448424034465813,0.7517862622750369,2.816440787496195
cont,Ackley,8,GWO,300,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7318105737236158,0.5489607487462025,0.15428016985632498,2.033024791894253
cont,Ackley,8,GWO,300,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7318105737236158,0.5489607487462025,0.15428016985632498,2.033024791894253
cont,Ackley,8,GWO,300,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7318105737236158,0.5489607487462025,0.15428016985632498,2.033024791894253
cont,Ackley,8,GWO,500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.403182886081592,0.2911896786992014,0.14452194049637912,2.382745160905739
cont,Ackley,8,GWO,500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.403182886081592,0.2911896786992014,0.14452194049637912,2.382745160905739
cont,Ackley,8,GWO,500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.403182886081592,0.2911896786992014,0.14452194049637912,2.382745160905739
cont,Ackley,8,GWO,800,easy,7,30,0.25,0.1354005847583789,0.3826102309169821,0.13099960725787693,0.11833437619428055,0.05444587119966515,0.23054513257831788
cont,Ackley,8,GWO,800,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.13099960725787693,0.11833437619428055,0.05444587119966515,0.23054513257831788
cont,Ackley,8,GWO,800,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.13099960725787693,0.11833437619428055,0.05444587119966515,0.23054513257831788
cont,Ackley,8,GWO,1000,easy,15,30,0.5,0.3565721369616578,0.6434278630383421,0.1510574428679144,0.09862083828555557,0.051491593237959155,1.6668893453280629
cont,Ackley,8,GWO,1000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.1510574428679144,0.09862083828555557,0.051491593237959155,1.6668893453280629
cont,Ackley,8,GWO,1000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.1510574428679144,0.09862083828555557,0.051491593237959155,1.6668893453280629
cont,Ackley,8,GWO,1500,easy,29,30,0.9375,0.8559096086816552,0.9884146841385564,0.06007938394185392,0.05856983917638425,0.021018041889377503,0.10198445162533476
cont,Ackley,8,GWO,1500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.06007938394185392,0.05856983917638425,0.021018041889377503,0.10198445162533476
cont,Ackley,8,GWO,1500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.06007938394185392,0.05856983917638425,0.021018041889377503,0.10198445162533476
cont,Ackley,8,GWO,2000,easy,29,30,0.9375,0.8559096086816552,0.9884146841385564,0.0959949062133334,0.04279984074155729,0.02026177458144618,1.695172717711991
cont,Ackley,8,GWO,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.0959949062133334,0.04279984074155729,0.02026177458144618,1.695172717711991
cont,Ackley,8,GWO,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.0959949062133334,0.04279984074155729,0.02026177458144618,1.695172717711991
cont,Ackley,8,GWO,3500,easy,30,30,0.96875,0.9078859400526763,0.998346745733359,0.024015364279554387,0.023320645600830137,0.008143920058810483,0.04452883069526026
cont,Ackley,8,GWO,3500,med,1,30,0.0625,0.011585315861443594,0.14409039131834475,0.024015364279554387,0.023320645600830137,0.008143920058810483,0.04452883069526026
cont,Ackley,8,GWO,3500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.024015364279554387,0.023320645600830137,0.008143920058810483,0.04452883069526026
cont,Ackley,8,GWO,5000,easy,30,30,0.96875,0.9078859400526763,0.998346745733359,0.01694187261966554,0.017364566861522324,0.006228057460611058,0.02560747086801074
cont,Ackley,8,GWO,5000,med,4,30,0.15625,0.06578047054601774,0.2713711815575147,0.01694187261966554,0.017364566861522324,0.006228057460611058,0.02560747086801074
cont,Ackley,8,GWO,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.01694187261966554,0.017364566861522324,0.006228057460611058,0.02560747086801074
cont,Ackley,8,GWO,8000,easy,30,30,0.96875,0.9078859400526763,0.998346745733359,0.009709215243001139,0.009747802928389948,0.00398032631555667,0.01540512155010676
cont,Ackley,8,GWO,8000,med,18,30,0.59375,0.4495566259694524,0.7311737237767726,0.009709215243001139,0.009747802928389948,0.00398032631555667,0.01540512155010676
cont,Ackley,8,GWO,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.009709215243001139,0.009747802928389948,0.00398032631555667,0.01540512155010676
cont,Ackley,8,GWO,12000,easy,30,30,0.96875,0.9078859400526763,0.998346745733359,0.0068885799484052455,0.007008086934221058,0.002957435675526643,0.010949993498784227
cont,Ackley,8,GWO,12000,med,29,30,0.9375,0.8559096086816552,0.9884146841385564,0.0068885799484052455,0.007008086934221058,0.002957435675526643,0.010949993498784227
cont,Ackley,8,GWO,12000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.0068885799484052455,0.007008086934221058,0.002957435675526643,0.010949993498784227
cont,Ackley,8,GWO,15000,easy,30,30,0.96875,0.9078859400526763,0.998346745733359,0.005071688175008967,0.005027484852260233,0.0022580451242046884,0.007485971653761414
