algo_variant,target,budget,beta_mean,beta_lo,beta_hi,value_score,value_lo,value_hi
BA,med,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.11541013686735035,0.0967622917631515,0.1353568117380973
BA,med,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.1447715331428298,0.1261643398326409,0.16177238902942068
BA,med,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.18014784242782428,0.1626256868139905,0.19930185618155474
FA,easy,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.5236189870722099,0.5159490579996503,0.5313341639702177
FA,easy,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6197641518225977,0.6133086525698834,0.626335787086141
FA,easy,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6793715144244378,0.6746025268033443,0.6839785613915832
FA,easy,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7115862158967234,0.7069972853973655,0.7164067114474791
FA,hard,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.5236189870722099,0.5159490579996503,0.5313341639702177
FA,hard,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6197641518225977,0.6133086525698834,0.626335787086141
FA,hard,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6793715144244378,0.6746025268033443,0.6839785613915832
FA,hard,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7115862158967234,0.7069972853973655,0.7164067114474791
FA,med,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.5236189870722099,0.5159490579996503,0.5313341639702177
FA,med,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6197641518225977,0.6133086525698834,0.626335787086141
FA,med,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6793715144244378,0.6746025268033443,0.6839785613915832
FA,med,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7115862158967234,0.7069972853973655,0.7164067114474791
GWO,easy,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8777122249465981,0.8649546588224741,0.8910027193956771
GWO,easy,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.9550730725920794,0.9333023309985247,0.9738068761120324
GWO,easy,800,0.08415583333333279,0.0833333333333333,0.0858333333333333,0.9895549736088434,0.9768077370845956,0.9987399579560272
GWO,easy,1000,0.08744500000000026,0.08416666666666663,0.09166666666666662,0.9894186919814941,0.9739736517180131,0.9993599274781831
GWO,hard,300,0.10270666666666722,0.09666666666666662,0.10918749999999997,0.8777122249465981,0.8649546588224741,0.8910027193956771
GWO,hard,500,0.1615583333333323,0.15249999999999997,0.1708333333333333,0.9550730725920794,0.9333023309985247,0.9738068761120324
GWO,hard,800,0.21193833333333412,0.19666666666666666,0.22666666666666666,0.9895549736088434,0.9768077370845956,0.9987399579560272
