algo,rung,score,seconds,params_json,pop,b
MFO,rung1,0.1564872354726798,1.008800745010376,"{""b"": 0.5905539854891824, ""pop"": 46}",46,0.5905539854891824
MFO,rung1,0.17492002695975972,1.0604567527770996,"{""b"": 1.3600376918767194, ""pop"": 31}",31,1.3600376918767194
MFO,rung1,0.1604331049272376,0.9715611934661865,"{""b"": 0.5577976319164966, ""pop"": 69}",69,0.5577976319164966
MFO,rung1,0.2030555665752961,1.0069873332977295,"{""b"": 1.0811074717184705, ""pop"": 48}",48,1.0811074717184705
MFO,rung1,0.0875268120235343,0.9477834701538086,"{""b"": 1.8790853740827282, ""pop"": 67}",67,1.8790853740827282
MFO,rung2,-0.12310965604332336,7.1351213455200195,"{""b"": 0.6714290714650266, ""pop"": 37}",37,0.6714290714650266
MFO,rung2,-0.17334513502365978,6.59571385383606,"{""b"": 0.8628429982008419, ""pop"": 65}",65,0.8628429982008419
MFO,rung2,-0.135272028732156,6.829815626144409,"{""b"": 0.7795363273416823, ""pop"": 48}",48,0.7795363273416823
MFO,rung2,-0.14626298562903595,6.828636169433594,"{""b"": 1.0811074717184705, ""pop"": 48}",48,1.0811074717184705
MFO,rung2,-0.1413031491507849,7.030930519104004,"{""b"": 0.8931020221630066, ""pop"": 41}",41,0.8931020221630066
MFO,rung2,-0.14107579819228488,7.082120895385742,"{""b"": 0.7402215660548586, ""pop"": 34}",34,0.7402215660548586
MFO,rung2,-0.1408320138752549,6.9664506912231445,"{""b"": 0.9772181273802434, ""pop"": 42}",42,0.9772181273802434
MFO,rung2,-0.15620615899397727,6.842032432556152,"{""b"": 1.0145678476337743, ""pop"": 55}",55,1.0145678476337743
MFO,rung2,-0.15230309936161024,7.056284427642822,"{""b"": 1.1300685909421586, ""pop"": 34}",34,1.1300685909421586
MFO,rung2,-0.1636915869849475,7.163726091384888,"{""b"": 1.3600376918767194, ""pop"": 31}",31,1.3600376918767194
MFO,rung2,-0.18278957652032946,6.453203916549683,"{""b"": 0.6619821936665449, ""pop"": 74}",74,0.6619821936665449
MFO,rung2,-0.13652232067049946,7.237893581390381,"{""b"": 0.7884566460556627, ""pop"": 33}",33,0.7884566460556627
MFO,rung2,-0.14926400066779816,6.752513408660889,"{""b"": 0.9768805764322036, ""pop"": 54}",54,0.9768805764322036
MFO,rung2,-0.19031366070434358,6.612826108932495,"{""b"": 1.0889832360024638, ""pop"": 69}",69,1.0889832360024638
MFO,rung2,-0.17389653422070211,6.603860378265381,"{""b"": 0.5577976319164966, ""pop"": 69}",69,0.5577976319164966
MFO,rung2,-0.1775861088763867,6.79842209815979,"{""b"": 1.2095638826278323, ""pop"": 52}",52,1.2095638826278323
MFO,rung2,-0.18056052327047895,6.797224283218384,"{""b"": 1.3474548076497457, ""pop"": 52}",52,1.3474548076497457
MFO,rung2,-0.14670656325315762,7.291806221008301,"{""b"": 0.5905539854891824, ""pop"": 46}",46,0.5905539854891824
MFO,rung2,-0.19518750105733362,7.161001443862915,"{""b"": 1.7235492770513514, ""pop"": 34}",34,1.7235492770513514
MFO,rung2,-0.16685466132432297,7.345654249191284,"{""b"": 1.7157207715109142, ""pop"": 33}",33,1.7157207715109142
