algo,rung,score,seconds,params_json,pop,sigma0
ES_1P1,rung2,1.354572538016063,6.786839246749878,"{""pop"": 54, ""sigma0"": 0.3423226968787563}",54,0.3423226968787563
ES_1P1,rung2,1.3691396011652213,6.869004249572754,"{""pop"": 29, ""sigma0"": 0.10673683718410316}",29,0.10673683718410316
ES_1P1,rung2,1.4074412528926588,6.895597219467163,"{""pop"": 34, ""sigma0"": 0.3876412440361495}",34,0.3876412440361495
ES_1P1,rung2,1.2790305546376248,6.824312686920166,"{""pop"": 45, ""sigma0"": 0.047571880997800596}",45,0.047571880997800596
ES_1P1,rung2,1.3939450172299548,8.891170978546143,"{""pop"": 31, ""sigma0"": 0.13486332202214704}",31,0.13486332202214704
ES_1P1,rung2,1.3113157399803386,9.04180359840393,"{""pop"": 23, ""sigma0"": 0.06774802422975114}",23,0.06774802422975114
ES_1P1,rung2,1.3444887331489916,8.093318700790405,"{""pop"": 51, ""sigma0"": 1.3310630515278885}",51,1.3310630515278885
ES_1P1,rung2,1.3633226056265386,11.589446306228638,"{""pop"": 13, ""sigma0"": 0.1040337577549869}",13,0.1040337577549869
ES_1P1,rung2,1.2786558825784842,11.835303783416748,"{""pop"": 49, ""sigma0"": 0.06089650753099327}",49,0.06089650753099327
ES_1P1,rung2,1.3553066117050139,15.04443621635437,"{""pop"": 60, ""sigma0"": 0.9813300167058421}",60,0.9813300167058421
