instance_id,problem,domain,budget,bounds,dim_or_n,algo_variant,algo_base,run_id,seed,best_value,best_eval,target,success
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,27,50000270,0.0,342,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,28,50000271,0.0,461,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,29,50000272,0.0,378,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,50000310,0.0,343,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,50000311,0.0,341,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,50000312,0.0,406,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,3,50000313,0.0,353,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,4,50000314,0.0,295,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,5,50000315,0.0,325,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,6,50000316,0.0,255,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,7,50000317,0.0,324,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,8,50000318,0.0,337,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,9,50000319,0.0,306,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,10,50000320,0.0,432,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,11,50000321,0.0,338,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,12,50000322,0.0,390,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,13,50000323,0.0,322,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,14,50000324,0.0,292,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,15,50000325,0.0,311,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,16,50000326,0.0,357,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,17,50000327,0.0,284,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,18,50000328,0.0,363,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,19,50000329,0.0,281,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,20,50000330,0.0,336,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,21,50000331,0.0,245,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,22,50000332,0.0,351,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,23,50000333,0.0,396,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,24,50000334,0.0,309,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,25,50000335,0.0,435,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,26,50000336,0.0,480,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,27,50000337,0.0,302,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,28,50000338,0.0,303,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.99,flips=1)",SA,29,50000339,0.0,325,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,50000408,4.0,381,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,50000409,3.0,204,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,50000410,2.0,471,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,3,50000411,3.0,270,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=2.0,alpha=0.995,flips=2)",SA,4,50000412,5.0,187,0.0,0
