domain,group_type,size_bin,budget,instance_id,policy_algo,baseline_algo,oracle_value,policy_value,baseline_value,policy_regret,baseline_regret
continuous,sphere,d<=10,10000,cont_sphere_d10_0008,DE,SA,0.03465793483138844,0.03465793483138844,0.18073292094946933,0.0,0.1460749861180809
continuous,sphere,d<=10,2000,cont_sphere_d10_0024,SA,SA,0.26645383214389107,0.26645383214389107,0.26645383214389107,0.0,0.0
continuous,sphere,d<=10,10000,cont_sphere_d10_0024,DE,SA,0.04574577628897569,0.04574577628897569,0.18669363334209388,0.0,0.1409478570531182
continuous,sphere,d>10,2000,cont_sphere_d20_0012,SA,SA,2.310707911257673,2.310707911257673,2.310707911257673,0.0,0.0
continuous,sphere,d>10,10000,cont_sphere_d20_0012,SA,SA,0.9617019664191802,0.9617019664191802,0.9617019664191802,0.0,0.0
continuous,sphere,d>10,2000,cont_sphere_d20_0028,SA,SA,2.452625851543548,2.452625851543548,2.452625851543548,0.0,0.0
continuous,sphere,d>10,10000,cont_sphere_d20_0028,SA,SA,1.0095089980509278,1.0095089980509278,1.0095089980509278,0.0,0.0
continuous,sphere,d<=5,2000,cont_sphere_d2_0000,DE,SA,6.493115694468976e-36,6.493115694468976e-36,0.0005175733839917117,0.0,0.0005175733839917117
continuous,sphere,d<=5,10000,cont_sphere_d2_0000,DE,SA,6.707445480662574e-193,6.707445480662574e-193,0.00011140771339269945,0.0,0.00011140771339269945
continuous,sphere,d<=5,2000,cont_sphere_d2_0016,DE,SA,5.889190577548019e-39,5.889190577548019e-39,0.0008850714016693861,0.0,0.0008850714016693861
continuous,sphere,d<=5,10000,cont_sphere_d2_0016,DE,SA,2.8133480387280337e-192,2.8133480387280337e-192,0.00014289202954469328,0.0,0.00014289202954469328
continuous,sphere,d<=5,2000,cont_sphere_d5_0004,DE,SA,0.0005483941606259819,0.0005483941606259819,0.03351732304609829,0.0,0.0329689288854723
continuous,sphere,d<=5,10000,cont_sphere_d5_0004,DE,SA,9.500122804748191e-21,9.500122804748191e-21,0.018589496594789083,0.0,0.018589496594789083
continuous,sphere,d<=5,2000,cont_sphere_d5_0020,DE,SA,0.0008509090101406146,0.0008509090101406146,0.04503769872134855,0.0,0.04418678971120794
continuous,sphere,d<=5,10000,cont_sphere_d5_0020,DE,SA,1.2252264817801607e-20,1.2252264817801607e-20,0.012956417040722378,0.0,0.012956417040722378
tsp,clustered,n<=30,2000,tsp_clustered_n20_0001,2OPT,2OPT,1.6692944543775887,1.6768855603342119,1.6768855603342119,0.0075911059566231565,0.0075911059566231565
tsp,clustered,n<=30,10000,tsp_clustered_n20_0001,2OPT,2OPT,1.6597369722432354,1.6597369722432354,1.6597369722432354,0.0,0.0
tsp,clustered,n<=30,2000,tsp_clustered_n20_0007,2OPT,2OPT,1.6813922341246468,1.6862647664117614,1.6862647664117614,0.004872532287114595,0.004872532287114595
tsp,clustered,n<=30,10000,tsp_clustered_n20_0007,2OPT,2OPT,1.6718627364364125,1.6720119867506384,1.6720119867506384,0.00014925031422596824,0.00014925031422596824
tsp,clustered,n<=30,2000,tsp_clustered_n20_0013,2OPT,2OPT,1.0620625448807761,1.0772363091769193,1.0772363091769193,0.015173764296143144,0.015173764296143144
tsp,clustered,n<=30,10000,tsp_clustered_n20_0013,2OPT,2OPT,1.059251944499225,1.0605988115207077,1.0605988115207077,0.0013468670214826783,0.0013468670214826783
tsp,clustered,n<=30,2000,tsp_clustered_n20_0019,2OPT,2OPT,1.1155524373185193,1.1155524373185193,1.1155524373185193,0.0,0.0
tsp,clustered,n<=30,10000,tsp_clustered_n20_0019,2OPT,2OPT,1.115276550370691,1.115276550370691,1.115276550370691,0.0,0.0
tsp,clustered,n<=30,2000,tsp_clustered_n20_0025,2OPT,2OPT,1.7969126159863094,1.7969126159863094,1.7969126159863094,0.0,0.0
tsp,clustered,n<=30,10000,tsp_clustered_n20_0025,2OPT,2OPT,1.7924855140881817,1.7924855140881817,1.7924855140881817,0.0,0.0
tsp,clustered,n<=60,2000,tsp_clustered_n40_0003,SA,2OPT,2.2726103404198943,2.2726103404198943,2.3095407410140867,0.0,0.03693040059419239
tsp,clustered,n<=60,10000,tsp_clustered_n40_0003,2OPT,2OPT,2.194403580301592,2.194403580301592,2.194403580301592,0.0,0.0
tsp,clustered,n<=60,2000,tsp_clustered_n40_0009,SA,2OPT,2.1212056406511834,2.1212056406511834,2.1278207217265646,0.0,0.006615081075381113
tsp,clustered,n<=60,10000,tsp_clustered_n40_0009,2OPT,2OPT,2.0757200212774167,2.0757200212774167,2.0757200212774167,0.0,0.0
tsp,clustered,n<=60,2000,tsp_clustered_n40_0015,SA,2OPT,2.004461380478447,2.004461380478447,2.110277503984098,0.0,0.10581612350565095
tsp,clustered,n<=60,10000,tsp_clustered_n40_0015,2OPT,2OPT,1.9255449951273076,1.9338760437490077,1.9338760437490077,0.008331048621700088,0.008331048621700088
tsp,clustered,n<=60,2000,tsp_clustered_n40_0021,SA,2OPT,2.9882910643876133,2.9945872155571545,2.9882910643876133,0.0062961511695411865,0.0
tsp,clustered,n<=60,10000,tsp_clustered_n40_0021,2OPT,2OPT,2.9430112338072747,2.9435147484070603,2.9435147484070603,0.0005035145997855928,0.0005035145997855928
tsp,clustered,n<=60,2000,tsp_clustered_n40_0027,SA,2OPT,1.5524529551967543,1.5524529551967543,1.5545507180204057,0.0,0.0020977628236513723
tsp,clustered,n<=60,10000,tsp_clustered_n40_0027,2OPT,2OPT,1.5269697805476878,1.5269697805476878,1.5269697805476878,0.0,0.0
tsp,clustered,n>60,2000,tsp_clustered_n80_0005,SA,2OPT,4.7703548090963555,4.7703548090963555,4.852701885464296,0.0,0.08234707636794081
tsp,clustered,n>60,10000,tsp_clustered_n80_0005,SA,2OPT,4.585162520189464,4.585162520189464,4.740653860110799,0.0,0.15549133992133424
