domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,3,FA,10000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.2862546904779455,5.410367783540684,4.32032736484927,6.073848893016947
cont,Ackley,3,FA,10000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.2862546904779455,5.410367783540684,4.32032736484927,6.073848893016947
cont,Ackley,3,GWO,2000,easy,3,30,0.125,0.04530017302264189,0.23150297514336832,0.5850680545357109,0.2375327950381796,0.07651368547389881,1.7609268930295525
cont,Ackley,3,GWO,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.5850680545357109,0.2375327950381796,0.07651368547389881,1.7609268930295525
cont,Ackley,3,GWO,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.5850680545357109,0.2375327950381796,0.07651368547389881,1.7609268930295525
cont,Ackley,3,GWO,5000,easy,16,30,0.53125,0.3869822549447333,0.6732606351024929,0.6025648408963454,0.06943402786387454,0.03511480591207361,2.0217643964559646
cont,Ackley,3,GWO,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.6025648408963454,0.06943402786387454,0.03511480591207361,2.0217643964559646
cont,Ackley,3,GWO,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.6025648408963454,0.06943402786387454,0.03511480591207361,2.0217643964559646
cont,Ackley,3,GWO,8000,easy,13,30,0.4375,0.29748724009093563,0.582026568673327,0.7398033075126688,1.1651023055977299,0.025106048947151738,2.017472780864225
cont,Ackley,3,GWO,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7398033075126688,1.1651023055977299,0.025106048947151738,2.017472780864225
cont,Ackley,3,GWO,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7398033075126688,1.1651023055977299,0.025106048947151738,2.017472780864225
cont,Ackley,3,GWO,10000,easy,14,30,0.46875,0.3267393648975071,0.6130177450552665,0.7194844251133603,0.6337464605875263,0.020298281151550857,2.024965431212238
cont,Ackley,3,GWO,10000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7194844251133603,0.6337464605875263,0.020298281151550857,2.024965431212238
cont,Ackley,3,GWO,10000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.7194844251133603,0.6337464605875263,0.020298281151550857,2.024965431212238
cont,Ackley,3,MFO,2000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.190891342970554,3.9331722622249665,2.414973289905998,6.525053426781664
cont,Ackley,3,MFO,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.190891342970554,3.9331722622249665,2.414973289905998,6.525053426781664
cont,Ackley,3,MFO,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.190891342970554,3.9331722622249665,2.414973289905998,6.525053426781664
cont,Ackley,3,MFO,5000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.977848995048108,4.066447580852918,2.031165915539486,5.7074062717340155
cont,Ackley,3,MFO,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.977848995048108,4.066447580852918,2.031165915539486,5.7074062717340155
cont,Ackley,3,MFO,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.977848995048108,4.066447580852918,2.031165915539486,5.7074062717340155
cont,Ackley,3,MFO,8000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.6434806237987796,3.5582362135088954,2.2336398518240803,5.548510938089798
cont,Ackley,3,MFO,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.6434806237987796,3.5582362135088954,2.2336398518240803,5.548510938089798
