domain,problem,instance_id,lambda,algo_variant,budget,rep,seed,evals,best
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,8,88863241000000,500,0.00025247654305656463
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,9,89190922000000,500,0.0012630146607346964
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,0,88011268000000,800,2.7625959596840493e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,1,88338949000000,800,2.1696120152019284e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,2,88666630000000,800,1.9590006024504785e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,3,88994311000000,800,5.773341985039355e-07
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,4,89321992000000,800,1.4541863209372277e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,5,89649673000000,800,2.825522753463171e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,6,89977354000000,800,1.019396182678805e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,7,90305035000000,800,7.232331847882347e-07
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,8,90632716000000,800,8.225429302808733e-07
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,800,9,90960397000000,800,3.9734171597149757e-07
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,0,217324077000000,1000,1.2225672470635743e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,1,217651758000000,1000,2.513541405029798e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,2,217979439000000,1000,1.7974892453092815e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,3,218307120000000,1000,2.2591899882505485e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,4,218634801000000,1000,1.4874515758823204e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,5,218962482000000,1000,1.953676214417575e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,6,219290163000000,1000,1.369658930125583e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,7,219617844000000,1000,1.9094495079321308e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,8,219945525000000,1000,3.944316946939755e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,1000,9,220273206000000,1000,2.9401598379773226e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,0,217979438000000,2000,2.519066324599109e-16
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,1,218307119000000,2000,1.2362600318948803e-16
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,2,218634800000000,2000,4.665820006616732e-15
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,3,218962481000000,2000,1.6115407392207977e-16
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,4,219290162000000,2000,3.935667910780336e-17
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,5,219617843000000,2000,1.5093419130855357e-16
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,6,219945524000000,2000,4.474555474867111e-17
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,7,220273205000000,2000,5.817591339619211e-17
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,8,220600886000000,2000,3.339816342212501e-17
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,2000,9,220928567000000,2000,1.2708331065567568e-16
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,0,219945521000000,5000,1.015637785838332e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,1,220273202000000,5000,8.290154595678793e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,2,220600883000000,5000,7.042216153218708e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,3,220928564000000,5000,4.398590688037487e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,5000,4,221256245000000,5000,7.657986612187534e-26
