instance_id,problem,domain,budget,target,target_name,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best,mean_auc_raw,median_auc_raw,mean_auc_log,median_auc_log,mean_wall_ms
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,TABU(tenure=7),TABU,0,12,0.0,0.07142857142857142,0.004025023128470885,0.20442035769690187,8129.0,8127.5,7844.0,8389.0,7983.839722222223,7983.243333333334,8.984296080619144,8.984812720359727,50.25
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,"UMDA(pop=100,elite=0.2)",UMDA,0,12,0.0,0.07142857142857142,0.004023158487075045,0.20529088547292634,7853.25,7838.5,7737.0,8029.0,7787.638888888888,7792.666666666666,8.960223474646465,8.960912515873808,1.25
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"UMDA(pop=100,elite=0.2)",UMDA,0,12,0.0,0.07142857142857142,0.0038564822246090107,0.20260309605512963,7853.25,7838.5,7737.0,8029.0,7787.638888888888,7792.666666666666,8.960223474646465,8.960912515873808,1.25
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"UMDA(pop=100,elite=0.2)",UMDA,0,12,0.0,0.07142857142857142,0.003880067907410965,0.20512433689372142,7853.25,7838.5,7737.0,8029.0,7787.638888888888,7792.666666666666,8.960223474646465,8.960912515873808,1.25
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,"UMDA(pop=50,elite=0.2)",UMDA,1,12,0.08333333333333333,0.14285714285714285,0.028440101265517537,0.3169718136044638,7936.25,7930.5,7819.0,8087.0,7798.638888888888,7780.583333333333,8.96157175159721,8.95932462121094,1.4166666666666667
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"UMDA(pop=50,elite=0.2)",UMDA,0,12,0.0,0.07142857142857142,0.003942891476009596,0.20798806595042457,7936.25,7930.5,7819.0,8087.0,7798.638888888888,7780.583333333333,8.96157175159721,8.95932462121094,1.4166666666666667
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"UMDA(pop=50,elite=0.2)",UMDA,0,12,0.0,0.07142857142857142,0.00398030224148912,0.2058059689745395,7936.25,7930.5,7819.0,8087.0,7798.638888888888,7780.583333333333,8.96157175159721,8.95932462121094,1.4166666666666667
bin::knapsack01::n200::i001,knapsack01,bin,300,8146.611320754717,easy,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.0037930017593848777,0.2079595705323035,7894.583333333333,7875.0,7805.0,8032.0,7864.277777777777,7856.333333333334,8.970033565317364,8.969059101668932,4.0
bin::knapsack01::n200::i001,knapsack01,bin,300,8956.232075471698,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.003844209238138565,0.20491540816118672,7894.583333333333,7875.0,7805.0,8032.0,7864.277777777777,7856.333333333334,8.970033565317364,8.969059101668932,4.0
bin::knapsack01::n200::i001,knapsack01,bin,300,8588.222641509434,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.003936469508968794,0.20700543269258292,7894.583333333333,7875.0,7805.0,8032.0,7864.277777777777,7856.333333333334,8.970033565317364,8.969059101668932,4.0
