instance_id,domain,problem,budget,algo_variant,algo_base,rep,seed,best,auc_raw,auc_log,wall_ms,succ_easy,succ_med,succ_hard
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,10,170294837,123.0,118.0,4.7701556379455585,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,11,125773896,121.0,117.16666666666667,4.763132524705405,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,1441526998,124.0,120.66666666666667,4.792737298053489,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,1,721805890,129.0,129.0,4.85981240436168,6,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,1231901275,132.0,123.83333333333333,4.818108137075222,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,3,322722697,122.0,117.83333333333333,4.768865128899459,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,4,1846923786,125.0,121.83333333333333,4.802237043294404,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,5,967096425,122.0,120.83333333333333,4.794172892004929,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,6,1921983830,122.0,118.66666666666667,4.7760451809270466,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,7,1710093347,125.0,121.33333333333333,4.7980687624356655,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,8,1514711733,125.0,122.66666666666667,4.808815360304894,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,9,495300371,134.0,124.66666666666667,4.824062862471838,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,10,1647140547,131.0,122.66666666666667,4.807810053908133,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.05)",GA,11,111714892,126.0,120.66666666666667,4.792477736933474,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,1224268756,123.0,123.0,4.812184355372425,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,868768460,121.0,118.33333333333333,4.773160245591103,3,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,2,2140277469,125.0,122.66666666666667,4.809375109210775,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,3,426303516,122.0,122.0,4.804021044733265,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,4,2032646511,123.0,120.0,4.7873308243165456,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,5,194890680,122.0,122.0,4.804021044733265,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,6,1338252684,122.0,119.33333333333333,4.781413512620344,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,7,1246254308,118.0,117.33333333333333,4.764986480012573,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,8,1930469648,119.0,119.0,4.779123493111538,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,9,641445060,120.0,119.66666666666667,4.784702326225215,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,10,1937191049,119.0,115.0,4.744606937600381,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=100,pc=0.9,pm=0.02)",GA,11,1443098010,127.0,118.66666666666667,4.775055032092441,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,0,1912112502,151.0,133.83333333333334,4.892341936390632,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,1,428456152,154.0,137.66666666666666,4.92158146875249,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,2,1628312689,158.0,141.5,4.948477340723395,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,3,2023172498,157.0,138.0,4.922321995836355,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,4,104360713,151.0,134.33333333333334,4.895186148703336,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,5,784068115,160.0,138.33333333333334,4.9241582302150295,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,6,1366900981,151.0,136.5,4.911878610722198,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,7,226549387,147.0,132.16666666666666,4.880066819167975,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,8,1095352898,147.0,131.33333333333334,4.874190493801778,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,9,1350999467,153.0,136.83333333333334,4.914069792198922,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,10,1640650566,156.0,139.5,4.932462862125409,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=50,elite=0.2)",UMDA,11,1991049240,146.0,132.16666666666666,4.8807086474693735,2,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,0,880091737,133.0,122.66666666666667,4.807010784963096,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,1,945702738,136.0,125.33333333333333,4.828378413694016,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,2,1018360727,135.0,125.33333333333333,4.829381252758845,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,3,2049967474,139.0,126.66666666666667,4.837964005254224,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,4,420376857,138.0,126.66666666666667,4.839041927738356,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,5,1073518085,137.0,128.0,4.849896437027163,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,6,107014967,135.0,127.66666666666667,4.848070225303885,2,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,7,913171518,137.0,129.0,4.858527958595522,1,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,8,2030045015,136.0,126.33333333333333,4.837036909161769,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,9,1331898245,137.0,126.33333333333333,4.836366713549998,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,10,750782387,134.0,126.33333333333333,4.837570503625064,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"UMDA(pop=100,elite=0.2)",UMDA,11,2136953472,132.0,123.0,4.809871510394598,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,0,1296558496,119.0,117.93375,4.770002369978344,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,1,2037841023,122.0,119.47125,4.782561202932244,16,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,2,35072563,125.0,123.29625,4.813772840322896,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,3,987939413,120.0,119.14625,4.78028328042461,16,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,4,1793051917,122.0,120.67125,4.792742121445432,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,5,1627210303,121.0,119.43875,4.782370864427541,16,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,6,875079008,124.0,122.58625,4.808386948939996,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,7,1068207104,120.0,119.1075,4.779763653473457,15,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,8,902462478,125.0,119.12375,4.7796614046132655,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,9,1136689207,125.0,122.84375,4.810176492882914,16,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,10,494452712,123.0,120.93625,4.794964506835651,0,0,0,0
bin::onemax::n200::i000,bin,onemax,800,RS_BIN,RS_BIN,11,1687461942,126.0,123.8575,4.8184085780300165,16,0,0,0
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,0,166879142,200.0,174.27625,5.147051443012331,17,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,1,890466655,200.0,177.93125,5.171472381403889,0,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,2,605291690,199.0,178.15875,5.172706650226144,14,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,3,1577291459,199.0,174.25125,5.1449175505118525,16,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,4,1609096917,197.0,173.72125,5.141461793565893,16,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,5,1527167700,199.0,173.7375,5.144953156664826,15,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,6,1985281331,199.0,177.45125,5.1690566947261605,16,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,7,2001582934,200.0,178.64875,5.173236180868584,0,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,8,396530695,198.0,177.33625,5.1685691893601335,16,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,9,246815950,199.0,178.52375,5.17484099351831,15,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,10,284241473,200.0,175.97,5.157611575994517,16,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=1),HC,11,1565548042,195.0,175.14,5.155551056099276,16,1,1,1
bin::onemax::n200::i000,bin,onemax,800,HC(flips=2),HC,0,2083753425,177.0,154.3575,5.030078578091986,0,1,1,0
bin::onemax::n200::i000,bin,onemax,800,HC(flips=2),HC,1,1991627720,180.0,157.7675,5.051869087847173,16,1,1,0
