problem,instance_id,algo_variant,budget,best,fitness_score
Rastrigin,17,GWO,3500,4.56805690940737,0.9211723298262968
Rastrigin,17,GWO,5000,6.743886415196205,0.8581863002937762
Rastrigin,17,GWO,8000,6.874662674109101,0.8544005821186502
Rastrigin,17,GWO,12000,7.967046761757866,0.8227781888095955
Rastrigin,17,GWO,15000,7.3312699588260415,0.8411826898879267
Rastrigin,17,GWO,20000,7.7841251771343885,0.8280734126773557
Rastrigin,17,MFO,200,30.93594388531987,0.1578733197906398
Rastrigin,17,MFO,300,24.328858411143564,0.3491355853740281
Rastrigin,17,MFO,500,17.335265435029537,0.5515864909068339
Rastrigin,17,MFO,800,14.999961092517793,0.6191890065881078
Rastrigin,17,MFO,1000,12.248223527376695,0.6988464535905499
Rastrigin,17,MFO,1500,11.149133051455978,0.7306629837879177
Rastrigin,17,MFO,2000,10.03381930692367,0.7629491460374134
Rastrigin,17,MFO,3500,10.204059077160565,0.7580210360144439
Rastrigin,17,MFO,5000,9.713763077391693,0.772214150980004
Rastrigin,17,MFO,8000,7.269629368520153,0.8429670650106462
Rastrigin,17,MFO,12000,11.704641027002088,0.7145821090409725
Rastrigin,17,MFO,15000,9.773902703290867,0.7704732258556402
Rastrigin,17,MFO,20000,9.798505845750409,0.7697610127647584
Rastrigin,17,PSO_GBEST,200,26.2173378737376,0.294467780343329
Rastrigin,17,PSO_GBEST,300,22.296701658225604,0.4079625683308554
Rastrigin,17,PSO_GBEST,500,17.920754715426558,0.5346377157349065
Rastrigin,17,PSO_GBEST,800,12.346005838151573,0.6960158460002774
Rastrigin,17,PSO_GBEST,1000,9.96272134921972,0.7650072935401145
Rastrigin,17,PSO_GBEST,1500,4.936905161398491,0.9104948907939088
Rastrigin,17,PSO_GBEST,2000,4.524927251545665,0.9224208494812502
Rastrigin,17,PSO_GBEST,3500,2.6449987841251086,0.9768411198438625
Rastrigin,17,PSO_GBEST,5000,1.7970401901348232,1.0
Rastrigin,17,PSO_GBEST,8000,2.317377796763458,0.9863251098028796
Rastrigin,17,PSO_GBEST,12000,1.5919338198544064,1.0
Rastrigin,17,PSO_GBEST,15000,1.1939507017929327,1.0
Rastrigin,17,PSO_GBEST,20000,1.4924379167512425,1.0
Rastrigin,17,PSO_RING,200,30.782116751986884,0.16232631591797264
Rastrigin,17,PSO_RING,300,21.727611918972496,0.424436608703911
Rastrigin,17,PSO_RING,500,18.879515039588338,0.5068834703165048
Rastrigin,17,PSO_RING,800,13.531922352413472,0.6616858709761897
Rastrigin,17,PSO_RING,1000,11.326765875796486,0.7255208592372168
Rastrigin,17,PSO_RING,1500,7.778311216423331,0.8282417155246482
Rastrigin,17,PSO_RING,2000,4.791761592796277,0.9146965146224817
Rastrigin,17,PSO_RING,3500,2.8248403654319514,0.9716350560777306
Rastrigin,17,PSO_RING,5000,2.383984903725111,0.9843969636889489
Rastrigin,17,PSO_RING,8000,1.921913520040989,0.9977730309503906
Rastrigin,17,PSO_RING,12000,1.2100193092043197,1.0
Rastrigin,17,PSO_RING,15000,1.0371637968990322,1.0
Rastrigin,17,PSO_RING,20000,0.8368344619961481,1.0
Rastrigin,17,WOA,200,27.57501687500151,0.2551656156094755
Rastrigin,17,WOA,300,21.591399244510708,0.4283797005286739
Rastrigin,17,WOA,500,15.156431850463349,0.6146594826733369
Rastrigin,17,WOA,800,10.360127512738034,0.7535031585492181
Rastrigin,17,WOA,1000,12.836169467258093,0.6818265629077689
Rastrigin,17,WOA,1500,8.315547742975076,0.8126897636656862
Rastrigin,17,WOA,2000,9.427806734624378,0.7804920305669085
Rastrigin,17,WOA,3500,6.9486845400184905,0.8522577931639932
Rastrigin,17,WOA,5000,5.980844588421097,0.8802748761256317
Rastrigin,17,WOA,8000,6.153949145279285,0.8752638361055035
Rastrigin,17,WOA,12000,4.9374964811421105,0.9104777732381739
Rastrigin,17,WOA,15000,5.291791507647087,0.9002216217597164
Rastrigin,17,WOA,20000,4.580407574634023,0.9208148021051944
Rastrigin,18,ALO,200,40.88230074339865,0.0
Rastrigin,18,ALO,300,43.625430518586434,0.0
Rastrigin,18,ALO,500,38.99290917342424,0.0
Rastrigin,18,ALO,800,38.807825100826264,0.0
Rastrigin,18,ALO,1000,37.08008862469283,0.0
Rastrigin,18,ALO,1500,35.00001355223805,0.00659678218264248
Rastrigin,18,ALO,2000,31.49902091244182,0.1107746238848587
Rastrigin,18,ALO,3500,24.742875575907824,0.3118149321065783
Rastrigin,18,ALO,5000,23.360355762883078,0.35295410177928366
Rastrigin,18,ALO,8000,19.4051139167233,0.47064888189947196
Rastrigin,18,ALO,12000,21.225743798626308,0.41647302060824243
Rastrigin,18,ALO,15000,19.069995132320095,0.4806208970577296
Rastrigin,18,ALO,20000,17.013749908208208,0.5418078835779112
Rastrigin,18,BA,200,36.514317200924815,0.0
Rastrigin,18,BA,300,35.40308802723553,0.0
Rastrigin,18,BA,500,30.352389457706423,0.14489454428239468
Rastrigin,18,BA,800,24.093815121101617,0.33112880227795494
Rastrigin,18,BA,1000,21.775598790242565,0.40011117350675696
Rastrigin,18,BA,1500,22.44623541287153,0.38015526868199967
Rastrigin,18,BA,2000,18.209700648778036,0.5062203860440735
Rastrigin,18,BA,3500,18.772337857990482,0.4894781828612291
Rastrigin,18,BA,5000,19.733314431990387,0.46088273131194313
Rastrigin,18,BA,8000,17.809739648979015,0.5181218888494458
Rastrigin,18,BA,12000,17.247479443596465,0.5348528736581453
Rastrigin,18,BA,15000,14.028902592643606,0.6306269652324996
Rastrigin,18,BA,20000,18.87100151183026,0.4865422822270362
Rastrigin,18,ES_1P1,200,23.936699254444658,0.33580404543597764
Rastrigin,18,ES_1P1,300,18.955570666876948,0.4840257867773752
Rastrigin,18,ES_1P1,500,12.799761366518299,0.6672021007039077
Rastrigin,18,ES_1P1,800,12.868458805565382,0.6651578944839224
Rastrigin,18,ES_1P1,1000,13.332421109499165,0.6513519267404932
Rastrigin,18,ES_1P1,1500,12.934422910908669,0.6631950231409877
Rastrigin,18,ES_1P1,2000,13.365576898990499,0.6503653212418479
Rastrigin,18,ES_1P1,3500,12.13847102705002,0.6868798913742535
Rastrigin,18,ES_1P1,5000,14.924333961244036,0.6039819199636571
Rastrigin,18,ES_1P1,8000,13.564564689510432,0.6444441095529636
Rastrigin,18,ES_1P1,12000,15.156495651357135,0.5970735638800153
Rastrigin,18,ES_1P1,15000,10.54654160563361,0.7342503912091438
Rastrigin,18,ES_1P1,20000,12.470127955745197,0.6770108894733925
Rastrigin,18,ES_MULAMBDA,200,32.20496985633004,0.0897679423825195
Rastrigin,18,ES_MULAMBDA,300,29.59904292728021,0.16731161957171137
Rastrigin,18,ES_MULAMBDA,500,26.182801004317568,0.26896756315221304
Rastrigin,18,ES_MULAMBDA,800,23.146606593849185,0.35931456276468277
Rastrigin,18,ES_MULAMBDA,1000,21.921542846565547,0.3957683660914635
Rastrigin,18,ES_MULAMBDA,1500,19.0978123224168,0.4797931504370845
Rastrigin,18,ES_MULAMBDA,2000,18.8047947020816,0.4885123756420301
Rastrigin,18,ES_MULAMBDA,3500,13.908087784807035,0.6342220101871826
Rastrigin,18,ES_MULAMBDA,5000,9.883901689559615,0.753968340769399
Rastrigin,18,ES_MULAMBDA,8000,6.035359947705477,0.8684880823449161
Rastrigin,18,ES_MULAMBDA,12000,2.146079019470036,0.9842200859691065
Rastrigin,18,ES_MULAMBDA,15000,2.3202303690079673,0.9790379237679754
Rastrigin,18,ES_MULAMBDA,20000,1.847941873297056,0.9930916511550781
Rastrigin,18,FA,200,33.49082578867559,0.051505166777384814
Rastrigin,18,FA,300,31.404154926038515,0.11359751862679779
Rastrigin,18,FA,500,28.279641845418556,0.20657258672870504
Rastrigin,18,FA,800,23.84331080784202,0.3385829735309398
Rastrigin,18,FA,1000,23.497045251491684,0.34888667937320483
Rastrigin,18,FA,1500,22.243389981278327,0.3861912708781552
Rastrigin,18,FA,2000,20.30540970667911,0.44385908770651794
Rastrigin,18,FA,3500,18.27099323572425,0.5043965234778346
Rastrigin,18,FA,5000,16.98364472505994,0.5427037132259904
Rastrigin,18,FA,8000,15.371722582393737,0.5906691296356492
Rastrigin,18,FA,12000,14.920587689843645,0.6040933964816273
Rastrigin,18,FA,15000,13.526817764492598,0.6455673319026918
Rastrigin,18,FA,20000,12.555088334402141,0.6744827525164412
Rastrigin,18,GWO,200,23.305277627868,0.35459304302286987
Rastrigin,18,GWO,300,14.176420939572774,0.6262373121895688
Rastrigin,18,GWO,500,5.53498477419216,0.8833775754062394
Rastrigin,18,GWO,800,4.273950871818984,0.9209017303471099
Rastrigin,18,GWO,1000,3.6391137115653884,0.9397923628025476
Rastrigin,18,GWO,1500,3.257793506066221,0.9511391778614507
Rastrigin,18,GWO,2000,2.9532919478051842,0.9602001266832234
Rastrigin,18,GWO,3500,3.4883470222323107,0.9442786756604412
Rastrigin,18,GWO,5000,3.3523431720792902,0.9483256957572781
Rastrigin,18,GWO,8000,3.2656770032013953,0.9509045913309702
Rastrigin,18,GWO,12000,3.798524911499258,0.9350488181965134
Rastrigin,18,GWO,15000,4.125751771476859,0.9253116403367382
Rastrigin,18,GWO,20000,4.183736446679821,0.9235862101699384
Rastrigin,18,MFO,200,31.169137324021303,0.12059085710511253
Rastrigin,18,MFO,300,23.518556080968906,0.3482465889706463
Rastrigin,18,MFO,500,15.445004226207699,0.5884885128008268
