domain,budget,target,algo_variant,n_instances,mean_metric,median_metric,std_metric,mean_p05,mean_p95,rank
cont,500,0.1,HC_CONT(sigma=0.2),23,0.11684782608695653,0.03125,0.23540821338024184,0.07471504038782915,0.18543234959378985,1
cont,500,0.1,"ES_ML(mu=10,lam=40,sigma=0.3)",23,0.10733695652173914,0.03125,0.25226707988729263,0.07203119428981149,0.16860224648545077,2
cont,500,0.1,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",23,0.08967391304347826,0.03125,0.19499789385200897,0.051147490286901486,0.15517997189615482,3
cont,500,0.1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",23,0.06929347826086957,0.03125,0.1260455286650133,0.030179527278339228,0.13712350291060627,4
cont,500,0.1,"ES_ML(mu=20,lam=80,sigma=0.2)",23,0.06793478260869565,0.03125,0.1223628689175083,0.02899545177968203,0.13555111686545773,5
cont,500,0.1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",23,0.050271739130434784,0.03125,0.06372320796383044,0.01345901398467968,0.116392527060328,6
cont,500,0.1,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",23,0.04755434782608696,0.03125,0.057212073410020006,0.011396807495788377,0.11420112816354842,7
cont,500,0.1,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",23,0.042119565217391304,0.03125,0.0360130081900038,0.007144158567233848,0.10734291923051013,8
cont,500,0.1,RS_CONT,23,0.033967391304347824,0.03125,0.009003252047500951,0.0024608468271080696,0.09660267298402526,9
cont,500,0.1,"DE(pop=20,F=0.8,CR=0.9)",23,0.03125,0.03125,0.0,0.0016427890651703,0.09292741378301154,10
cont,500,0.1,"DE(pop=40,F=0.8,CR=0.9)",23,0.03125,0.03125,0.0,0.0017004459710335087,0.0921388018200598,11
cont,500,1.0,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",20,0.0796875,0.03125,0.20937990960465294,0.047422418706706035,0.13930454915338913,1
cont,500,1.0,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",20,0.078125,0.03125,0.2096313728906053,0.04712664311661244,0.1368793789971796,2
cont,500,1.0,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",20,0.0765625,0.03125,0.20264366046091845,0.044595301435725945,0.13721098520056565,3
cont,500,1.0,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",20,0.0609375,0.03125,0.13276653616405001,0.025243795938168674,0.12474779618290677,4
cont,500,1.0,"DE(pop=20,F=0.8,CR=0.9)",20,0.0453125,0.03125,0.06288941186718158,0.010964272689176605,0.110881410804299,5
cont,500,1.0,"ES_ML(mu=10,lam=40,sigma=0.3)",20,0.040625,0.03125,0.041926274578121064,0.0069994892067825306,0.10548732622125487,6
cont,500,1.0,HC_CONT(sigma=0.2),20,0.0375,0.03125,0.016348386368143654,0.00398476132412568,0.10127127646956166,7
cont,500,1.0,"DE(pop=40,F=0.8,CR=0.9)",20,0.0359375,0.03125,0.020963137289060532,0.00380784295992406,0.09825517449056462,8
cont,500,1.0,"ES_ML(mu=20,lam=80,sigma=0.2)",20,0.03125,0.03125,0.0,0.0016884486918452,0.09272667332989805,9
cont,500,1.0,RS_CONT,20,0.03125,0.03125,0.0,0.0017201700513642352,0.09128738730221334,10
cont,500,1.0,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",20,0.03125,0.03125,0.0,0.0016408095612343951,0.09237415891566532,11
cont,2000,0.0001,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",17,0.5790441176470589,0.96875,0.4467653994556151,0.519096392218744,0.6328619574290199,1
cont,2000,0.0001,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",17,0.3161764705882353,0.1875,0.3476136478358764,0.24097375627348563,0.4031925964984552,2
cont,2000,0.0001,"DE(pop=20,F=0.8,CR=0.9)",17,0.17647058823529413,0.03125,0.2353991105938643,0.11189215807708329,0.26361732524426834,3
cont,2000,0.0001,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",17,0.0900735294117647,0.03125,0.1392652809362933,0.04039290203166354,0.16815330375853219,4
cont,2000,0.0001,"DE(pop=40,F=0.8,CR=0.9)",17,0.03125,0.03125,0.0,0.0016962353698883705,0.09114420313107598,5
cont,2000,0.0001,"ES_ML(mu=10,lam=40,sigma=0.3)",17,0.03125,0.03125,0.0,0.0016915361857153294,0.09159472912487561,6
cont,2000,0.0001,"ES_ML(mu=20,lam=80,sigma=0.2)",17,0.03125,0.03125,0.0,0.0016137642071755646,0.09316876422577229,7
cont,2000,0.0001,HC_CONT(sigma=0.2),17,0.03125,0.03125,0.0,0.0016726607446735293,0.09142802857939691,8
cont,2000,0.0001,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",17,0.03125,0.03125,0.0,0.0016409422972766118,0.09222487123768743,9
cont,2000,0.0001,RS_CONT,17,0.03125,0.03125,0.0,0.0016438557796549704,0.09116993914180177,10
cont,2000,0.0001,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",17,0.03125,0.03125,0.0,0.0016468948756907177,0.09186307116036142,11
cont,2000,0.001,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",23,0.07336956521739131,0.03125,0.1377092595578968,0.03286446105252818,0.14266836995259236,1
cont,2000,0.001,"DE(pop=20,F=0.8,CR=0.9)",23,0.03125,0.03125,0.0,0.0016708491465153219,0.09180305635278885,2
cont,2000,0.001,"DE(pop=40,F=0.8,CR=0.9)",23,0.03125,0.03125,0.0,0.001647543700412874,0.09260843546198567,3
cont,2000,0.001,"ES_ML(mu=10,lam=40,sigma=0.3)",23,0.03125,0.03125,0.0,0.0016473197468601173,0.09111376773243043,4
cont,2000,0.001,"ES_ML(mu=20,lam=80,sigma=0.2)",23,0.03125,0.03125,0.0,0.0016620607422566781,0.09142314302359292,5
