algo,rung,score,seconds,params_json,pop,fmax,A0,r0,local_step
BA,rung2,0.4747229022642093,10.060101985931396,"{""A0"": 0.3673718083645614, ""fmax"": 2.652596563947784, ""local_step"": 0.05415602351935451, ""pop"": 35, ""r0"": 0.24162043919757278}",35,2.652596563947784,0.3673718083645614,0.24162043919757278,0.05415602351935451
BA,rung2,0.36469229390767627,9.524201154708862,"{""A0"": 0.8823227967987173, ""fmax"": 3.1446298806292847, ""local_step"": 0.03584748635824017, ""pop"": 73, ""r0"": 0.1579487165250149}",73,3.1446298806292847,0.8823227967987173,0.1579487165250149,0.03584748635824017
BA,rung2,0.13117176833619365,9.221726417541504,"{""A0"": 0.7970801488913232, ""fmax"": 0.6075779790108338, ""local_step"": 0.032983018693123714, ""pop"": 57, ""r0"": 0.4764712946973476}",57,0.6075779790108338,0.7970801488913232,0.4764712946973476,0.032983018693123714
BA,rung2,-0.09596476522342157,8.880950212478638,"{""A0"": 0.8382160408204589, ""fmax"": 2.075867678811001, ""local_step"": 0.04478765116647186, ""pop"": 36, ""r0"": 0.6315791111097505}",36,2.075867678811001,0.8382160408204589,0.6315791111097505,0.04478765116647186
BA,rung2,-0.13814284336969224,8.755983114242554,"{""A0"": 0.5228619474205642, ""fmax"": 2.6210561132168677, ""local_step"": 0.02077756301361052, ""pop"": 73, ""r0"": 0.4227893982272064}",73,2.6210561132168677,0.5228619474205642,0.4227893982272064,0.02077756301361052
BA,rung2,-0.13407284109796905,9.37971830368042,"{""A0"": 0.3997139475243968, ""fmax"": 2.279662935449605, ""local_step"": 0.023140191271525685, ""pop"": 46, ""r0"": 0.3686391700596505}",46,2.279662935449605,0.3997139475243968,0.3686391700596505,0.023140191271525685
BA,rung2,-0.15360752100372205,9.637969493865967,"{""A0"": 0.5616997693205992, ""fmax"": 3.9923429258610974, ""local_step"": 0.0169619945931175, ""pop"": 52, ""r0"": 0.28311724606745986}",52,3.9923429258610974,0.5616997693205992,0.28311724606745986,0.0169619945931175
BA,rung2,-0.1627197551046538,8.955078840255737,"{""A0"": 0.6872084966494065, ""fmax"": 0.828240005818147, ""local_step"": 0.014200819389527393, ""pop"": 51, ""r0"": 0.4803577433601681}",51,0.828240005818147,0.6872084966494065,0.4803577433601681,0.014200819389527393
BA,rung2,-0.23359744075284838,9.516093730926514,"{""A0"": 0.5856889754756116, ""fmax"": 0.5053475645560785, ""local_step"": 1.9819121583188515e-05, ""pop"": 39, ""r0"": 0.38729379150774845}",39,0.5053475645560785,0.5856889754756116,0.38729379150774845,1.9819121583188515e-05
BA,rung2,-0.2289456257784208,9.807269096374512,"{""A0"": 0.7434606420463051, ""fmax"": 0.7884759937552694, ""local_step"": 0.0010053352619175029, ""pop"": 48, ""r0"": 0.2620836885510369}",48,0.7884759937552694,0.7434606420463051,0.2620836885510369,0.0010053352619175029
BA,rung2,-0.2580861900739257,9.340852499008179,"{""A0"": 0.7859563036261537, ""fmax"": 1.1942476788092398, ""local_step"": 0.006211288708508076, ""pop"": 52, ""r0"": 0.4982862577780215}",52,1.1942476788092398,0.7859563036261537,0.4982862577780215,0.006211288708508076
BA,rung2,-0.22151785084557563,9.658843994140625,"{""A0"": 0.4587705242568369, ""fmax"": 1.0828729112337876, ""local_step"": 0.008985583937650135, ""pop"": 68, ""r0"": 0.1400565324596062}",68,1.0828729112337876,0.4587705242568369,0.1400565324596062,0.008985583937650135
BA,rung2,-0.2752476419118987,8.740957975387573,"{""A0"": 0.5336293746005915, ""fmax"": 3.468130471718888, ""local_step"": 0.024098367246821233, ""pop"": 49, ""r0"": 0.6800435268030502}",49,3.468130471718888,0.5336293746005915,0.6800435268030502,0.024098367246821233
BA,rung2,-0.23873036991315255,9.133240222930908,"{""A0"": 0.3171781250133148, ""fmax"": 3.824293935366573, ""local_step"": 0.02227600820400428, ""pop"": 44, ""r0"": 0.48948684769130113}",44,3.824293935366573,0.3171781250133148,0.48948684769130113,0.02227600820400428
BA,rung2,-0.29751930295044227,9.42350697517395,"{""A0"": 0.7193664214040224, ""fmax"": 3.088736757934478, ""local_step"": 0.005562009416424027, ""pop"": 71, ""r0"": 0.413580926106332}",71,3.088736757934478,0.7193664214040224,0.413580926106332,0.005562009416424027
BA,rung2,-0.31020927486866773,10.192264080047607,"{""A0"": 0.6463774640692685, ""fmax"": 1.4079038691645709, ""local_step"": 0.0001704318681675459, ""pop"": 60, ""r0"": 0.11112472169433785}",60,1.4079038691645709,0.6463774640692685,0.11112472169433785,0.0001704318681675459
BA,rung2,-0.3420095654687094,7.819150924682617,"{""A0"": 0.38875407022780595, ""fmax"": 0.8458198408320295, ""local_step"": 0.0003944210969378289, ""pop"": 74, ""r0"": 0.799921859860815}",74,0.8458198408320295,0.38875407022780595,0.799921859860815,0.0003944210969378289
BA,rung2,-0.3538434078000128,8.553087711334229,"{""A0"": 0.5037559168532522, ""fmax"": 2.300502574264341, ""local_step"": 0.00033304263900124897, ""pop"": 68, ""r0"": 0.5657706298246715}",68,2.300502574264341,0.5037559168532522,0.5657706298246715,0.00033304263900124897
BA,rung2,-0.30287266665473844,9.33174467086792,"{""A0"": 0.7895065017212246, ""fmax"": 1.5029027802444146, ""local_step"": 6.047651954791048e-05, ""pop"": 63, ""r0"": 0.2512320949094013}",63,1.5029027802444146,0.7895065017212246,0.2512320949094013,6.047651954791048e-05
