instance_id,problem,domain,target,budget,algo,run_idx,best,success,evals
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,5,28.100093113038625,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,6,21.47456195043341,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,7,22.89129753229409,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,8,12.803586070441725,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,9,30.176083983795046,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,10,19.56280387047107,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,11,21.7799177483529,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,12,17.06298175637552,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,13,28.774888214299175,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,14,16.703973347447217,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,15,25.86565161358279,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,16,21.759070151398074,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,17,17.135604832129715,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,18,27.216830535002128,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,19,19.99795216919585,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,20,21.353975230600298,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,21,23.236232825059357,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,22,19.387591681597822,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,23,25.491199500201,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,24,17.665685290287612,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,25,25.946793975899116,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,26,16.13196105230039,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,27,24.444833265177458,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,28,22.322473045028485,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,29,18.450178055007843,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,0,4.9898863275884935,1,1680
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,1,4.132447843074118,1,1470
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,2,3.7782912413131555,1,1710
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,3,3.886712298004916,1,990
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,4,4.931087902938174,1,1200
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,5,8.076134743270664,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,6,4.775387873927457,1,840
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,7,4.814512056783791,1,1830
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,8,4.4625989595306095,1,1470
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,9,14.938034159495665,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,10,5.071349445682365,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,11,4.667725169098659,1,750
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,12,3.3493989510583333,1,1920
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,13,6.0522599811597,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,14,3.0516514409840525,1,990
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,15,4.653037200927308,1,1110
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,16,1.9351000103150326,1,840
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,17,4.605918382188165,1,1740
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,18,4.983348295534711,1,1650
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,19,3.902034201265849,1,1260
rastrigin_d5_i001,rastrigin,cont,5.0,2000,PSO_STD,20,4.999336214561772,1,1230
