instance_id,problem,domain,algo,budget,target,successes,trials,succ_rate,beta_mean,beta_p04,beta_p95,mean_best,median_best
sphere_d10_i008,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,16.732564240844475,16.975955398713864
sphere_d20_i000,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,36.47163144506238,32.791957711818156
sphere_d20_i000,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,4.301388573316047,3.8509790439030027
sphere_d20_i000,sphere,cont,PSO_STD,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,0.5314861236367086,0.47431871782990076
sphere_d20_i000,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,63.86954751930947,64.43338741957639
sphere_d20_i010,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,36.09544916338036,36.03920602432703
sphere_d20_i010,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,4.711878666770016,4.627023602324064
sphere_d20_i010,sphere,cont,PSO_STD,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,0.43313386752005945,0.4320683945730005
sphere_d20_i010,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,65.45188217759515,65.83736923644963
sphere_d20_i012,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,34.386255702429025,32.909014635180185
sphere_d20_i012,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,4.469049889596414,4.104381546561065
sphere_d20_i012,sphere,cont,PSO_STD,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,1.4438125727829445,0.4366069998606328
sphere_d20_i012,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,65.40146822854686,66.72503646706537
sphere_d20_i014,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,38.897422967081965,40.44547360635762
sphere_d20_i014,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,4.570732416315597,4.199680634733102
sphere_d20_i014,sphere,cont,PSO_STD,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,1.3972843236243526,0.46391611118386356
sphere_d20_i014,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,64.31202123999275,66.15551465194505
sphere_d20_i016,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,38.676942194403885,37.60168121368909
sphere_d20_i016,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,4.874007697070775,4.650068755415796
sphere_d20_i016,sphere,cont,PSO_STD,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,0.5422268801472078,0.5014226307994408
sphere_d20_i016,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,63.98712518631234,66.12089887125325
sphere_d5_i002,sphere,cont,DE,2000,0.001,2,30,0.06666666666666667,0.09375,0.010289701271523718,0.17721029872847627,0.0043442849902932,0.0031677372806072314
sphere_d5_i002,sphere,cont,PSO_RING,2000,0.001,28,30,0.9333333333333333,0.90625,0.8227897012715237,0.9897102987284763,0.0007370428991947674,0.000692410437446911
sphere_d5_i002,sphere,cont,PSO_STD,2000,0.001,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0007447817371789649,0.0007742329947089863
sphere_d5_i002,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,1.818540359240118,1.653558403144233
sphere_d5_i006,sphere,cont,DE,2000,0.001,1,30,0.03333333333333333,0.0625,0.0,0.13181000556642797,0.0037439113216074797,0.0022963893583164033
sphere_d5_i006,sphere,cont,PSO_RING,2000,0.001,22,30,0.7333333333333333,0.71875,0.5900123784316215,0.8474876215683785,0.0010827049973530123,0.0007912926949747123
sphere_d5_i006,sphere,cont,PSO_STD,2000,0.001,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0006666970625373678,0.0006829649407540208
sphere_d5_i006,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,1.8472477512021384,1.595770533926784
sphere_d5_i018,sphere,cont,DE,2000,0.001,3,30,0.1,0.125,0.030304504716323594,0.2196954952836764,0.00417548529552935,0.002951454536896177
sphere_d5_i018,sphere,cont,PSO_RING,2000,0.001,27,30,0.9,0.875,0.7803045047163236,0.9696954952836764,0.0007033319928130797,0.0006688754720719239
sphere_d5_i018,sphere,cont,PSO_STD,2000,0.001,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0006322658637887242,0.0006407982287202033
sphere_d5_i018,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,2.040998020614842,1.926215319681109
