domain,problem,instance_id,n,budget,algo,seed,final_best,improve_rel,auc_progress,p10_progress,p50_progress,p90_progress,stagnation_frac,div_mean,div_decay,step_mean,step_decay,step_burst
cont,sphere,sphere_d10_i003,10,5000,DE,1,0.03091160731863279,0.5850661150741242,0.749999999999484,0.0,0.999999999999312,0.999999999999312,0.5,0.02279435188618245,0.15535004252723347,0.10310779509055627,0.0,1.1369865742438316
cont,sphere,sphere_d10_i003,10,5000,DE,2,0.022740602579429243,0.41195641044638637,0.7499999999989533,0.0,0.9999999999986043,0.9999999999986043,0.5,0.0202563108726771,0.17125413343966472,0.09372024138874324,0.0,1.1101131241660533
cont,sphere,sphere_d10_i003,10,5000,ES,0,0.7232766745024298,0.0,0.0,0.0,0.0,0.0,1.0,0.02811727731981599,0.9999999999644347,0.42248086282296726,0.9999999999976331,0.0
cont,sphere,sphere_d10_i003,10,5000,ES,1,9.323882469656436,0.0,0.0,0.0,0.0,0.0,1.0,0.1294994805772832,0.999999999992278,1.677675552522717,0.9999999999994039,0.0
cont,sphere,sphere_d10_i003,10,5000,ES,2,1.8829636313940075,0.0,0.0,0.0,0.0,0.0,1.0,0.0492377671732298,0.9999999999796905,1.7170961981048753,0.9999999999994176,0.0
cont,sphere,sphere_d10_i003,10,5000,GWO,0,0.27607270837274595,0.2468117346117288,0.7499999999982064,0.0,0.9999999999976086,0.9999999999976086,0.5,0.019578708516729774,0.030282565653524086,0.0921156728397996,0.0,1.3188763873962708
cont,sphere,sphere_d10_i003,10,5000,GWO,1,0.011095424941639884,0.39427734800681336,0.7499999999988605,0.0,0.9999999999984807,0.9999999999984807,0.5,0.01804798267704189,0.03645794739560947,0.08508351920378655,0.0,1.3219527210786286
cont,sphere,sphere_d10_i003,10,5000,GWO,2,0.2957990423357678,0.1939153959408682,0.7499999999975941,0.0,0.9999999999967921,0.9999999999967921,0.5,0.018396662027753374,0.035199518858563004,0.09550190819058163,0.0,1.3197375162251295
cont,sphere,sphere_d10_i003,10,5000,WOA,0,0.009036997534488665,0.24750453612212664,0.7499999999977403,0.0,0.999999999996987,0.999999999996987,0.5,0.06981463996646711,0.016825497647929136,0.206780286244589,0.0,1.3743713117208347
cont,sphere,sphere_d10_i003,10,5000,WOA,1,0.001503339357112155,0.17489913295758158,0.749999999996467,0.0,0.9999999999952894,0.9999999999952894,0.5,0.07918977237544525,0.011554416595743567,0.25736101590716987,0.0,1.3730027020621698
