algo,rung,score,seconds,params_json,pop,a0,spiral_b
WOA,rung2,0.030436951461406347,24.446887016296387,"{""a0"": 2.447266267245597, ""pop"": 26, ""spiral_b"": 0.7734137412464109}",26,2.447266267245597,0.7734137412464109
WOA,rung2,-0.009703161582911068,23.692457675933838,"{""a0"": 2.2873884691926327, ""pop"": 34, ""spiral_b"": 1.0751795900617034}",34,2.2873884691926327,1.0751795900617034
WOA,rung2,0.02259145646204075,24.145355939865112,"{""a0"": 2.09189993025037, ""pop"": 32, ""spiral_b"": 0.9095035472951105}",32,2.09189993025037,0.9095035472951105
WOA,rung2,-0.035147130347830846,22.218249559402466,"{""a0"": 1.7064486816080142, ""pop"": 56, ""spiral_b"": 1.33559932806261}",56,1.7064486816080142,1.33559932806261
WOA,rung2,-0.05855422167481064,23.852052211761475,"{""a0"": 2.6870115351167865, ""pop"": 38, ""spiral_b"": 1.7837932565745098}",38,2.6870115351167865,1.7837932565745098
WOA,rung2,-0.01738526404957569,23.573649883270264,"{""a0"": 1.9175170833649655, ""pop"": 34, ""spiral_b"": 1.9762203786410817}",34,1.9175170833649655,1.9762203786410817
WOA,rung2,-0.050068267650563325,24.022456884384155,"{""a0"": 2.4334723643446727, ""pop"": 37, ""spiral_b"": 1.304790978513503}",37,2.4334723643446727,1.304790978513503
WOA,rung2,-0.005673543380533275,23.499216556549072,"{""a0"": 1.504719526902597, ""pop"": 41, ""spiral_b"": 0.8725080533467388}",41,1.504719526902597,0.8725080533467388
WOA,rung2,0.020092069504330345,23.71549081802368,"{""a0"": 1.5350439982315036, ""pop"": 38, ""spiral_b"": 1.2707021563136984}",38,1.5350439982315036,1.2707021563136984
WOA,rung2,-0.032504933556899374,22.408183813095093,"{""a0"": 1.5395343159113986, ""pop"": 58, ""spiral_b"": 1.9554116967535777}",58,1.5395343159113986,1.9554116967535777
WOA,rung2,-0.01569331362252696,23.697031497955322,"{""a0"": 2.341678561041916, ""pop"": 36, ""spiral_b"": 1.7338513241509317}",36,2.341678561041916,1.7338513241509317
WOA,rung2,-0.05866871985523092,23.458917140960693,"{""a0"": 2.5421414749304088, ""pop"": 42, ""spiral_b"": 1.0111316318863706}",42,2.5421414749304088,1.0111316318863706
WOA,rung2,0.00044804998765396453,24.325841426849365,"{""a0"": 2.693481018615257, ""pop"": 30, ""spiral_b"": 1.3103272840497238}",30,2.693481018615257,1.3103272840497238
